pattern,artist,frequency
가을,강세황,2
가을,안중식,2
가을,정선,1
가을,허백련,1
가지,강세황,1
가지,남계우,1
가지,장승업,1
가지,조석진,1
갈대,안중식,5
갈대,장승업,1
갈대,조석진,1
개,김득신,1
개,김홍도,3
개,백은배,1
개,신윤복,1
개,심사정,1
개,안중식,1
개,이방운,1
개,장승업,1
개,조석진,4
개,최북,1
개구리,심사정,1
개구리,전기,1
거위,안중식,1
거위,장승업,1
게,김홍도,1
게,신윤복,1
게,심사정,1
게,안중식,1
게,장승업,4
게,조석진,2
게,한용간,1
겨울,김수철,2
겨울,심사정,1
겨울,이인상,1
겨울,전기,1
겨울,정선,4
겨울,최북,1
겨울,허련,1
고슴도치,이인상,1
고양이,김홍도,1
고양이,남계우,1
고양이,장승업,1
고양이,조석진,2
곤충,강세황,1
곤충,백은배,1
곤충,심사정,1
곤충,이우,1
곤충,장승업,1
곤충,전기,1
공부,김홍도,1
과일,장승업,1
관동팔경,강세황,1
괴석,강세황,3
괴석,김수철,1
괴석,김홍도,7
괴석,신명연,1
괴석,신위,1
괴석,심사정,7
괴석,안중식,2
괴석,이방운,2
괴석,이인문,1
괴석,이재관,1
괴석,장승업,3
괴석,조석진,4
괴석,최북,4
괴석,허련,4
괴석,허형,1
구담봉,윤제홍,1
구름,강세황,1
구름,김응환,1
구름,김홍도,2
구름,백은배,1
구름,심사정,1
구름,정선,2
구름,정홍래,2
국화,김정희,1
국화,남계우,1
국화,심사정,2
국화,안중식,1
국화,이인상,1
국화,장승업,4
국화,정홍래,1
국화,조석진,5
국화,조희룡,1
국화,허형,1
귀신,심사정,1
금강산,강세황,1
금강산,정선,16
기러기,김홍도,2
기러기,안중식,4
기러기,장승업,2
기러기,정조,1
기려,강세황,2
기려,김유성,1
기려,신익성,1
기려,심사정,1
기려,윤두서,1
기려,정선,4
기려,조중묵,1
기려,최북,1
기마,김홍도,7
기마,심사정,1
기마,유숙,1
기마,윤제홍,1
기마,이인문,1
기마,정선,3
기마,조석진,1
기우,김홍도,6
기우,심사정,1
기우,유숙,1
까마귀,장승업,1
까치,김홍도,3
까치,심사정,2
까치,유숙,1
까치,장승업,2
까치,조속,1
까치,한용간,1
까치,허형,1
꽃,강세황,2
꽃,김수철,2
꽃,김홍도,1
꽃,남계우,2
꽃,백은배,1
꽃,신명연,2
꽃,심사정,1
꽃,안중식,1
꽃,유숙,1
꽃,이우,1
꽃,이인상,2
꽃,장승업,6
꽃,전기,2
꽃,정홍래,1
꽃,조석진,1
꽃,조속,1
꽃,조희룡,2
꽃,허형,1
꿩,심사정,1
꿩,장승업,1
꿩,최북,1
나무,이인문,2
나무,최북,1
나비,김유성,1
나비,남계우,6
나비,백은배,1
나비,심사정,1
나비,이인상,1
나비,전기,1
나비,조희룡,1
낙산사,정선,1
낚시,김홍도,1
낚시,백은배,1
낚시,신윤복,1
낚시,이인상,1
낚시,정선,3
낚시,조석진,1
낚시,최북,1
난초,강세황,1
난초,김유성,1
난초,김정희,7
난초,김홍도,1
난초,남계우,1
난초,신명연,3
난초,심사정,1
난초,안중식,1
난초,이인상,1
난초,장승업,1
난초,조석진,1
난초,조속,1
난초,조희룡,4
난초,최북,1
난초,허련,1
난초,허형,1
내연산,정선,1
노동,김득신,1
노동,김홍도,11
놀이,김홍도,2
놀이,신윤복,1
놀이,안중식,1
놀이,윤덕희,1
놀이,이재관,2
농사,김홍도,5
농사,이방운,1
능소화,김수철,1
다람쥐,이우,1
다람쥐,한용간,1
단풍나무,안중식,1
단풍나무,정홍래,1
달,강세황,1
달,김득신,1
달,김수철,1
달,김홍도,3
달,백은배,1
달,신윤복,1
달,안중식,7
달,유숙,1
달,이방운,2
달,정선,1
달,조석진,3
달,조속,1
달,한용간,1
달,허련,1
달,허필,1
닭,김홍도,2
닭,백은배,1
닭,신윤복,1
닭,안중식,1
닭,장승업,2
닭,조석진,1
닭,조속,1
당나귀,강세황,2
당나귀,김유성,1
당나귀,김홍도,5
당나귀,신익성,1
당나귀,심사정,1
당나귀,이인상,1
당나귀,정선,5
당나귀,조중묵,1
당나귀,최북,1
대나무,강세황,4
대나무,김유성,1
대나무,김정희,1
대나무,김홍도,3
대나무,신위,5
대나무,안중식,2
대나무,유숙,1
대나무,이인상,1
대나무,전기,1
대나무,정선,1
대나무,조석진,3
대나무,조희룡,3
대나무,한용간,1
대나무,허련,1
대나무,허목,1
대나무,허필,1
대나무,허형,1
독서,강세황,1
독서,안중식,3
독서,이명기,1
독서,조석진,2
독서,조영석,1
동자,강세황,1
동자,김홍도,6
동자,신윤복,1
동자,안중식,1
동자,유숙,1
동자,이재관,1
동자,장승업,2
동자,정선,1
두꺼비,심사정,1
두꺼비,안중식,1
등나무,남계우,1
말,김홍도,11
말,백은배,1
말,심사정,2
말,유숙,1
말,윤제홍,1
말,이방운,1
말,이인문,1
말,장승업,1
말,정선,2
말,조석진,3
말,조영석,1
매,김홍도,2
매,신윤복,1
매,심사정,1
매,안중식,2
매,유숙,1
매,장승업,4
매,정홍래,3
매,최북,1
매미,남계우,1
매미,이방운,1
매화,김수철,3
매화,김홍도,2
매화,남계우,1
매화,백은배,1
매화,신명연,2
매화,안중식,3
매화,유숙,2
매화,장승업,3
매화,전기,2
매화,조석진,5
매화,조속,1
매화,조희룡,8
매화,최석환,1
매화,한용간,1
매화,허형,1
매화서옥,김수철,1
매화서옥,안중식,1
매화서옥,전기,2
매화서옥,조석진,1
매화서옥,조희룡,1
메뚜기,심사정,1
메뚜기,안중식,1
메뚜기,장승업,1
모란,강세황,1
모란,남계우,4
모란,심사정,2
모란,장승업,1
모란,조석진,2
모란,허련,4
모란,허형,1
목련,심사정,1
무,심사정,1
무,장승업,2
무,조석진,2
무,최북,1
무궁화,남계우,1
문암산,정선,1
물결,강세황,1
물결,김홍도,2
물결,백은배,1
물결,심사정,1
물결,안중식,1
물결,정선,3
물결,최북,1
물결,한용간,1
물고기,김홍도,1
물고기,장승업,1
물고기,전기,1
물고기,조석진,4
물새,김홍도,3
물짐승,백은배,1
바위,김수철,4
바위,이방운,1
바위,정선,3
박쥐,심사정,1
박쥐,유숙,1
밤,장승업,1
밤,조석진,2
방아깨비,심사정,1
배,김석신,1
배,김수철,2
배,김홍도,6
배,신윤복,1
배,심사정,2
배,안중식,3
배,윤제홍,1
배,이인문,1
배,이인상,1
배,정선,7
배,조중묵,1
배,최북,2
배,허련,1
배,허백련,1
배,허필,1
배꽃,남계우,1
배추,조석진,1
배추,최북,1
백로,김홍도,1
백로,유숙,1
백로,조석진,1
백합,김수철,1
백합,신명연,1
백합,안중식,1
뱀,윤덕희,1
버드나무,김홍도,4
버드나무,백은배,1
버드나무,신윤복,1
버드나무,심사정,3
버드나무,안중식,1
버드나무,윤덕희,1
버드나무,윤제홍,1
버드나무,이방운,1
버드나무,이인문,1
버드나무,이인상,1
버드나무,장승업,1
버드나무,전기,1
버드나무,정선,8
버드나무,조석진,1
버드나무,조영석,1
버드나무,조중묵,1
버드나무,최북,1
버드나무,허련,2
벼,김홍도,2
병아리,전기,1
복숭아,김홍도,1
복숭아,장승업,1
복숭아,조석진,1
복숭아나무,안중식,1
봄,신윤복,2
봄,이인상,1
봄,정선,1
봄,조석진,1
불로초,김홍도,2
불로초,전기,1
불로초,조석진,1
불로초,한용간,1
불보살,허필,1
붓꽃,남계우,1
사냥,심사정,1
사슴,김홍도,4
사슴,이인문,2
사슴,장승업,2
사슴,조석진,3
사슴,한용간,1
산,이인상,1
새,김홍도,7
새,백은배,1
새,신명연,2
새,심사정,2
새,안중식,1
새,이방운,1
새,이인상,1
새,장승업,5
새,전기,1
새,정홍래,1
새,조석진,4
새,조속,3
새,조희룡,1
새,허형,1
서예,김홍도,1
서예,안중식,1
서예,유숙,1
서예,이재관,1
서예,조석진,1
석류,강세황,1
석류,장승업,1
석류,한용간,1
석류,허형,1
세검정,유숙,1
세검정,정선,2
소,김홍도,12
소,심사정,3
소,유숙,1
소,이방운,1
소,이인문,2
소,장승업,1
소나무,강세황,3
소나무,김수철,2
소나무,김정희,1
소나무,김홍도,11
소나무,신명연,1
소나무,신윤복,2
소나무,신익성,1
소나무,심사정,4
소나무,안중식,5
소나무,유숙,1
소나무,유재소,2
소나무,윤덕희,1
소나무,이명기,1
소나무,이방운,3
소나무,이인문,10
소나무,이인상,5
소나무,이재관,3
소나무,장승업,1
소나무,전기,2
소나무,정선,12
소나무,조석진,3
소나무,조영석,1
소나무,조중묵,1
소나무,최북,2
소나무,한용간,1
소나무,허련,1
소나무,허백련,1
소나무,허형,1
수국,조석진,1
승려,심사정,1
승려,윤두서,1
승려,장승업,1
신선,강세황,1
신선,김홍도,8
신선,백은배,3
신선,신윤복,1
신선,심사정,7
신선,안중식,3
신선,유숙,1
신선,윤덕희,1
신선,이인상,1
신선,이재관,2
신선,장승업,2
신선,정선,1
신선,조석진,1
신선,조영석,1
악기,김홍도,8
악기,백은배,1
악기,신윤복,1
악기,안중식,1
악기,이방운,1
악기,조석진,2
여름,심사정,1
여름,이방운,1
여름,정선,1
여름,조영석,1
여름,허백련,1
여산(중국),정선,1
연과,장승업,1
연꽃,강세황,2
연꽃,신명연,1
연꽃,심사정,1
연꽃,안중식,2
연꽃,유숙,2
연꽃,장승업,3
연꽃,조석진,1
연꽃,허형,1
열매,전기,1
열매,조석진,1
염소,김홍도,3
오리,김홍도,3
오리,안중식,1
오리,장승업,3
오리,정홍래,1
오리,조석진,2
오이,강세황,1
용,김응환,1
용,김홍도,1
용,심사정,1
용,윤덕희,2
원숭이,심사정,1
원숭이,장승업,2
원숭이,조석진,1
인물,김홍도,1
인삼,장승업,1
인왕산,정선,4
작약,신명연,1
잠자리,강세황,1
잠자리,심사정,2
잠자리,장승업,1
장동팔경,정선,1
장미,남계우,1
제비,김홍도,1
제비,백은배,1
제비,신명연,1
제비,전기,1
제비,조석진,1
조개,강세황,1
조개,장승업,1
참새,백은배,1
참새,안중식,2
참새,유숙,2
참새,장승업,1
참새,정선,1
참새,조석진,2
참새,조속,2
참새,한용간,1
채소,장승업,1
토끼,심사정,1
토끼,장승업,1
토끼,최북,1
파초,강세황,1
파초,백은배,1
파초,이재관,1
파초,장승업,1
파초,조석진,1
파초,최석환,1
포도,이우,1
포도,최석환,3
포도,한용간,1
포도,허형,1
폭포,김수철,1
폭포,김홍도,7
폭포,신명연,2
폭포,신윤복,2
폭포,신익성,1
폭포,심사정,2
폭포,유숙,1
폭포,이방운,1
폭포,이인문,4
폭포,이인상,3
폭포,장승업,1
폭포,정선,5
폭포,조석진,1
폭포,조속,1
폭포,조중묵,1
폭포,최북,3
폭포,허련,1
학,김홍도,5
학,신명연,1
학,심사정,2
학,안중식,2
학,윤제홍,1
학,이방운,1
학,이인문,2
학,장승업,1
학,조석진,1
학,한용간,1
학,허필,1
학,허형,1
해,윤덕희,1
해,이인문,1
해,정선,1
해,정홍래,4
해,조석진,1
호랑이,유숙,1
호랑이,윤덕희,1
호랑이,이인문,1
